# Accelerometer Data File
# Started @Wed Oct 14 10:14:43 GMT+02:00 2020
#
#
# sensor Vendor: STM
# sensor Name: LSM6DSO Acceleration Sensor
# sensor Resolution: 0.0023942017m/sec^2; Max Range: 78.4532; Min Delay: 2000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.301 9.562 3.059 0
0.306 9.572 3.086 1
0.306 9.572 3.086 2
0.299 9.574 3.086 2
0.296 9.569 3.083 2
0.306 9.565 3.067 2
0.308 9.557 3.057 2
0.332 9.577 3.019 2
0.342 9.584 2.992 2
0.344 9.577 2.983 2
0.368 9.581 2.966 2
0.368 9.572 2.959 2
0.383 9.581 2.954 2
0.395 9.584 2.954 2
0.399 9.581 2.956 2
0.407 9.577 2.952 3
0.404 9.586 2.956 2
0.407 9.591 2.959 2
0.423 9.601 2.961 2
0.428 9.591 2.961 2
0.43 9.572 2.944 2
0.411 9.545 2.923 2
0.411 9.545 2.923 2
0.411 9.538 2.909 1
0.416 9.529 2.877 2
0.433 9.517 2.856 2
0.426 9.51 2.851 2
0.407 9.514 2.849 2
0.409 9.51 2.832 2
0.411 9.502 2.822 2
0.411 9.505 2.806 2
0.402 9.483 2.784 2
0.402 9.483 2.784 2
0.407 9.478 2.767 2
0.402 9.483 2.758 2
0.387 9.483 2.739 2
0.385 9.476 2.739 2
0.38 9.464 2.734 2
0.378 9.462 2.731 2
0.347 9.459 2.741 2
0.366 9.466 2.751 2
0.378 9.505 2.748 2
0.385 9.507 2.741 2
0.385 9.507 2.741 2
0.383 9.505 2.751 2
0.375 9.502 2.76 2
0.368 9.5 2.767 2
0.366 9.493 2.786 2
0.375 9.483 2.798 2
0.363 9.483 2.837 2
0.361 9.476 2.861 2
0.368 9.498 2.909 2
0.368 9.498 2.909 2
0.359 9.502 2.923 2
0.349 9.493 2.949 2
0.328 9.507 2.985 2
0.323 9.507 3.0 2
0.323 9.5 3.023 2
0.318 9.498 3.038 2
0.335 9.514 3.05 2
0.339 9.51 3.04 2
0.337 9.5 3.009 2
0.337 9.5 3.009 2
0.339 9.5 2.99 2
0.368 9.51 2.949 2
0.375 9.522 2.932 2
0.392 9.524 2.899 2
0.395 9.536 2.865 2
0.397 9.538 2.858 2
0.39 9.538 2.832 2
0.383 9.541 2.827 2
0.351 9.605 2.803 2
0.351 9.605 2.803 2
0.342 9.62 2.806 2
0.339 9.636 2.801 2
0.342 9.646 2.794 2
0.325 9.646 2.782 2
0.323 9.653 2.782 2
0.311 9.656 2.791 2
0.301 9.658 2.815 2
0.292 9.663 2.834 2
0.263 9.658 2.897 2
0.263 9.658 2.897 2
0.27 9.658 2.918 2
0.265 9.636 2.956 2
0.26 9.629 2.961 2
0.27 9.632 2.966 2
0.28 9.624 2.99 2
0.287 9.615 3.007 2
0.27 9.596 2.995 2
0.268 9.591 2.997 2
0.284 9.577 3.023 2
0.284 9.577 3.023 2
0.277 9.574 3.014 3
0.282 9.557 2.988 2
0.28 9.56 2.973 2
0.292 9.557 2.966 2
0.292 9.562 2.978 2
0.296 9.569 2.98 2
0.28 9.572 3.007 2
0.272 9.577 3.026 2
0.227 9.591 3.086 1
0.227 9.591 3.086 2
0.225 9.591 3.098 2
0.205 9.601 3.098 2
0.196 9.605 3.093 2
0.169 9.598 3.079 2
0.162 9.596 3.079 2
0.146 9.605 3.033 2
0.143 9.62 3.004 2
0.138 9.613 2.997 2
0.119 9.634 3.04 2
0.119 9.634 3.04 2
0.112 9.629 3.04 2
0.11 9.644 3.076 2
0.112 9.663 3.102 2
0.158 9.665 3.141 2
0.181 9.665 3.158 2
0.205 9.687 3.184 2
0.253 9.703 3.213 2
0.289 9.711 3.22 2
0.294 9.694 3.227 2
0.294 9.694 3.227 2
0.268 9.675 3.225 2
0.237 9.653 3.227 2
0.229 9.641 3.225 2
0.232 9.632 3.208 2
0.222 9.624 3.191 2
0.239 9.62 3.158 2
0.356 9.677 3.107 2
0.38 9.689 3.074 2
0.306 9.634 2.956 2
0.306 9.634 2.956 2
0.265 9.629 2.959 2
0.208 9.61 2.952 2
0.189 9.577 2.959 2
0.153 9.56 2.959 2
0.146 9.562 2.952 2
0.169 9.569 2.909 2
0.222 9.589 2.88 2
0.256 9.613 2.803 2
0.354 9.656 2.669 2
0.354 9.656 2.669 2
0.363 9.658 2.64 2
0.361 9.651 2.602 2
0.383 9.646 2.549 2
0.409 9.66 2.533 2
0.414 9.66 2.528 2
0.459 9.682 2.576 2
0.526 9.703 2.614 2
0.541 9.682 2.679 2
0.428 9.605 2.863 2
0.392 9.569 2.964 2
0.385 9.538 3.043 2
0.373 9.493 3.256 2
0.313 9.452 3.591 2
0.308 9.478 3.569 2
0.33 9.498 3.6 2
0.387 9.55 3.615 2
0.423 9.562 3.603 2
0.438 9.555 3.96 2
0.332 9.56 3.897 2
0.332 9.56 3.897 2
0.33 9.553 3.871 2
0.328 9.548 3.79 2
0.325 9.555 3.691 2
0.418 9.629 3.612 2
0.486 9.639 3.562 2
0.498 9.608 3.423 2
0.459 9.596 3.356 2
0.378 9.579 3.328 2
0.301 9.534 3.237 2
0.277 9.534 3.181 2
0.253 9.543 3.193 2
0.258 9.536 3.172 2
0.28 9.545 3.062 2
0.32 9.553 3.04 2
0.507 9.601 2.909 2
0.675 9.66 2.794 2
0.701 9.672 2.698 2
0.648 9.646 2.731 2
0.447 9.593 2.959 2
0.447 9.593 2.959 2
0.418 9.596 3.031 2
0.409 9.589 3.047 2
0.38 9.548 3.014 2
0.368 9.529 3.007 2
0.335 9.488 2.921 2
0.349 9.474 2.796 2
0.363 9.476 2.722 2
0.39 9.502 2.528 2
0.409 9.557 2.116 2
0.409 9.557 2.116 2
0.423 9.577 2.023 2
0.438 9.596 1.939 2
0.44 9.617 1.831 2
0.43 9.61 1.817 2
0.354 9.584 1.817 2
0.263 9.581 1.855 2
0.232 9.577 1.889 2
0.203 9.574 1.951 2
0.249 9.562 1.98 2
0.249 9.562 1.98 2
0.251 9.565 2.013 2
0.241 9.567 2.027 2
0.217 9.553 2.097 2
0.184 9.536 2.152 2
0.112 9.493 2.236 2
0.1 9.476 2.238 2
0.114 9.49 2.229 2
0.165 9.51 2.243 2
0.249 9.536 2.157 2
0.249 9.536 2.157 2
0.246 9.541 2.109 2
0.263 9.548 2.078 2
0.306 9.55 2.054 2
0.313 9.548 2.025 2
0.296 9.545 2.032 2
0.265 9.531 2.051 2
0.162 9.495 2.056 2
0.067 9.502 2.128 2
0.052 9.526 2.229 2
0.033 9.529 2.264 2
0.033 9.529 2.264 2
0.009 9.567 2.288 2
0.004 9.603 2.257 2
0.016 9.622 2.233 2
0.074 9.696 2.207 2
0.119 9.732 2.183 2
0.179 9.797 2.123 2
0.155 9.838 2.078 2
0.158 9.859 2.085 2
0.158 9.859 2.085 2
0.167 9.842 2.092 2
0.098 9.809 2.104 2
0.019 9.771 2.099 2
-0.004 9.761 2.09 2
-0.021 9.725 2.075 2
-0.047 9.715 2.08 2
-0.09 9.703 2.106 2
-0.05 9.713 2.118 2
0.002 9.775 2.14 2
0.002 9.775 2.14 2
-0.016 9.778 2.138 2
-0.079 9.794 2.145 2
-0.134 9.806 2.181 2
-0.136 9.826 2.212 2
-0.095 9.859 2.26 2
-0.081 9.873 2.272 2
-0.086 9.885 2.293 2
-0.105 9.885 2.312 2
-0.1 9.909 2.384 2
-0.1 9.909 2.384 2
-0.107 9.905 2.396 2
-0.095 9.909 2.43 2
-0.102 9.912 2.468 2
-0.129 9.897 2.53 2
-0.177 9.89 2.6 2
-0.174 9.888 2.631 2
-0.102 9.909 2.628 2
-0.079 9.919 2.614 2
-0.016 9.897 2.485 2
-0.016 9.897 2.485 2
-0.026 9.89 2.444 2
-0.055 9.888 2.32 2
-0.069 9.883 2.25 2
-0.102 9.878 2.116 2
-0.148 9.866 1.963 2
-0.208 9.85 1.881 2
-0.33 9.814 1.671 2
-0.402 9.806 1.577 2
-0.682 9.735 1.204 2
-0.682 9.735 1.204 2
-0.768 9.718 1.115 2
-0.873 9.711 0.976 2
-0.912 9.725 0.921 2
-0.95 9.751 0.809 2
-0.96 9.78 0.701 2
-0.957 9.785 0.67 2
-0.945 9.792 0.61 2
-0.926 9.809 0.586 2
-0.794 9.869 0.55 2
-0.794 9.869 0.55 2
-0.761 9.869 0.569 2
-0.689 9.869 0.632 2
-0.651 9.873 0.672 2
-0.577 9.864 0.773 2
-0.529 9.857 0.828 2
-0.438 9.842 0.962 2
-0.361 9.835 1.113 2
-0.33 9.823 1.199 2
-0.184 9.809 1.589 2
-0.184 9.809 1.589 2
-0.15 9.802 1.704 2
-0.093 9.785 1.905 2
-0.062 9.778 1.994 2
-0.04 9.773 2.169 2
-0.021 9.754 2.241 2
0.009 9.711 2.343 2
0.052 9.692 2.411 2
0.067 9.682 2.437 2
0.117 9.665 2.511 2
0.117 9.665 2.511 2
0.141 9.663 2.525 2
0.205 9.696 2.537 2
0.239 9.718 2.523 2
0.282 9.751 2.497 2
0.292 9.766 2.482 2
0.306 9.79 2.485 2
0.301 9.811 2.485 2
0.284 9.823 2.482 2
0.263 9.862 2.456 2
0.263 9.862 2.456 2
0.253 9.873 2.43 2
