# Accelerometer Data File
# Started @Wed Oct 14 10:13:25 GMT+02:00 2020
#
#
# sensor Vendor: STM
# sensor Name: LSM6DSO Acceleration Sensor
# sensor Resolution: 0.0023942017m/sec^2; Max Range: 78.4532; Min Delay: 2000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.402 9.715 2.487 0
0.404 9.713 2.502 1
0.402 9.706 2.506 2
0.423 9.694 2.506 2
0.418 9.696 2.492 2
0.402 9.703 2.49 2
0.395 9.713 2.504 2
0.387 9.711 2.509 2
0.399 9.706 2.502 2
0.395 9.713 2.506 2
0.395 9.713 2.506 3
0.366 9.715 2.521 2
0.363 9.715 2.516 2
0.361 9.715 2.537 2
0.359 9.708 2.537 2
0.351 9.715 2.535 2
0.351 9.692 2.542 1
0.351 9.692 2.547 2
0.351 9.708 2.528 2
0.361 9.713 2.523 2
0.361 9.713 2.523 3
0.411 9.701 2.521 2
0.416 9.696 2.521 2
0.399 9.699 2.523 2
0.407 9.706 2.53 2
0.435 9.706 2.537 2
0.452 9.715 2.54 2
0.452 9.737 2.542 2
0.423 9.711 2.54 2
0.423 9.711 2.54 2
0.423 9.711 2.54 2
0.418 9.694 2.525 2
0.423 9.694 2.516 2
0.421 9.725 2.485 2
0.421 9.725 2.485 2
0.433 9.701 2.494 2
0.411 9.701 2.475 2
0.409 9.711 2.478 2
0.399 9.727 2.468 2
0.392 9.727 2.468 2
0.392 9.72 2.468 1
0.378 9.713 2.458 2
0.373 9.711 2.451 2
0.356 9.701 2.454 2
0.354 9.701 2.446 2
0.354 9.687 2.425 2
0.337 9.663 2.418 3
0.328 9.668 2.42 2
0.308 9.665 2.43 2
0.311 9.663 2.42 2
0.311 9.663 2.42 2
0.323 9.66 2.411 2
0.32 9.653 2.408 2
0.316 9.639 2.403 2
0.311 9.639 2.401 2
0.284 9.641 2.401 2
0.289 9.641 2.391 2
0.306 9.641 2.389 2
0.294 9.636 2.401 2
0.299 9.636 2.396 2
0.299 9.636 2.396 2
0.294 9.639 2.408 2
0.316 9.634 2.403 2
0.308 9.624 2.375 2
0.304 9.622 2.375 2
0.328 9.624 2.372 2
0.33 9.615 2.365 2
0.335 9.613 2.348 2
0.342 9.613 2.351 2
0.342 9.613 2.351 2
0.344 9.624 2.351 2
0.349 9.632 2.355 2
0.361 9.632 2.36 2
0.356 9.636 2.377 2
0.356 9.644 2.379 2
0.366 9.622 2.391 2
0.371 9.622 2.406 2
0.392 9.622 2.43 2
0.392 9.651 2.473 2
0.392 9.651 2.473 2
0.39 9.651 2.468 2
0.378 9.656 2.473 2
0.375 9.653 2.485 2
0.366 9.658 2.492 2
0.371 9.668 2.492 2
0.356 9.67 2.487 2
0.361 9.67 2.487 2
0.361 9.656 2.492 2
0.332 9.648 2.528 2
0.332 9.648 2.528 2
0.335 9.653 2.53 2
0.337 9.656 2.528 2
0.332 9.646 2.53 2
0.33 9.646 2.516 2
0.335 9.653 2.502 2
0.339 9.677 2.487 2
0.337 9.677 2.49 2
0.337 9.672 2.485 2
0.347 9.706 2.487 2
0.347 9.706 2.487 2
0.356 9.713 2.478 2
0.366 9.713 2.48 2
0.375 9.706 2.513 2
0.368 9.692 2.506 2
0.368 9.684 2.513 2
0.38 9.68 2.516 2
0.375 9.675 2.518 2
0.378 9.687 2.504 2
0.339 9.687 2.53 2
0.339 9.687 2.53 2
0.325 9.687 2.545 2
0.32 9.689 2.564 2
0.311 9.703 2.597 2
0.306 9.723 2.621 2
0.306 9.723 2.636 2
0.32 9.73 2.655 2
0.311 9.739 2.662 2
0.299 9.739 2.662 2
0.294 9.735 2.66 2
0.294 9.735 2.66 2
0.294 9.735 2.66 2
0.265 9.732 2.657 2
0.256 9.747 2.638 2
0.26 9.739 2.636 2
0.27 9.742 2.636 2
0.282 9.742 2.636 2
0.249 9.735 2.614 2
0.246 9.73 2.592 2
0.26 9.718 2.566 2
0.26 9.718 2.566 2
0.26 9.718 2.566 2
0.265 9.715 2.557 2
0.272 9.72 2.53 2
0.282 9.727 2.518 2
0.287 9.713 2.511 2
0.284 9.711 2.504 2
0.294 9.708 2.475 2
0.301 9.703 2.482 2
0.313 9.701 2.444 2
0.313 9.701 2.444 2
0.313 9.701 2.444 2
0.325 9.694 2.446 2
0.33 9.682 2.451 2
0.306 9.672 2.434 2
0.316 9.682 2.411 2
0.332 9.682 2.403 2
0.366 9.675 2.406 2
0.373 9.67 2.396 2
0.371 9.668 2.391 2
0.371 9.668 2.391 2
0.371 9.668 2.391 2
0.347 9.672 2.403 2
0.351 9.668 2.403 2
0.351 9.663 2.418 2
0.342 9.653 2.408 2
0.33 9.648 2.399 2
0.328 9.641 2.394 2
0.332 9.636 2.396 2
0.308 9.634 2.403 2
0.311 9.641 2.399 2
0.311 9.641 2.399 2
0.308 9.644 2.401 2
0.299 9.644 2.396 2
0.306 9.66 2.411 2
0.306 9.656 2.418 2
0.316 9.648 2.42 2
0.306 9.639 2.425 2
0.292 9.644 2.43 2
0.282 9.639 2.43 2
0.282 9.639 2.439 2
0.282 9.639 2.439 2
0.287 9.632 2.439 2
0.287 9.62 2.442 2
0.289 9.627 2.446 2
0.296 9.634 2.463 2
0.299 9.627 2.461 2
0.287 9.648 2.451 2
0.304 9.66 2.43 2
0.351 9.663 2.427 2
0.351 9.663 2.427 2
0.351 9.663 2.427 2
